Ativo;Data;time;open;high;low;close;Volume;Quantidade
WINFUT;23/12/2021;11:40:00;106220;106230;106120;106135;3721399979.87;175241
WINFUT;23/12/2021;11:35:00;106165;106240;106045;106220;6787161468.06;319679
WINFUT;23/12/2021;11:30:00;106040;106175;105965;106165;6352605163.67;299423
WINFUT;23/12/2021;11:25:00;106025;106060;105970;106045;2267662469.47;106942
WINFUT;23/12/2021;11:20:00;106015;106080;105990;106020;3370092442.74;158916
WINFUT;23/12/2021;11:15:00;106060;106065;105945;106015;5187893250.58;244695
WINFUT;23/12/2021;11:10:00;106120;106130;106045;106055;3395827064.07;160046
WINFUT;23/12/2021;11:05:00;106145;106175;106065;106115;4115364821.65;193884
WINFUT;23/12/2021;11:00:00;106135;106205;106115;106140;3459037300.96;162917
WINFUT;23/12/2021;10:55:00;106230;106275;106115;106135;4691690583.13;220892
WINFUT;23/12/2021;10:50:00;106295;106335;106185;106225;4220728589.31;198609
WINFUT;23/12/2021;10:45:00;106435;106470;106260;106295;5236382554.39;246167
WINFUT;23/12/2021;10:40:00;106495;106510;106390;106435;2332689567.45;109561
WINFUT;23/12/2021;10:35:00;106525;106555;106360;106495;4946465770.20;232318
WINFUT;23/12/2021;10:30:00;106480;106545;106400;106525;3662829090.15;172001
WINFUT;23/12/2021;10:25:00;106505;106525;106455;106480;1616671019.89;75905
WINFUT;23/12/2021;10:20:00;106555;106565;106400;106505;5066107779.93;237897
WINFUT;23/12/2021;10:15:00;106665;106680;106545;106555;4082396897.34;191475
WINFUT;23/12/2021;10:10:00;106705;106750;106650;106665;4115822486.78;192873
WINFUT;23/12/2021;10:05:00;106720;106850;106695;106705;3828016774.46;179262
WINFUT;23/12/2021;10:00:00;106875;106950;106720;106720;5131757994.60;240184
WINFUT;23/12/2021;09:55:00;106945;106960;106850;106875;3116564292.91;145777
WINFUT;23/12/2021;09:50:00;106935;106960;106880;106950;2595400524.16;121367
WINFUT;23/12/2021;09:45:00;107035;107075;106930;106940;2785806979.02;130174
WINFUT;23/12/2021;09:40:00;107015;107055;106980;107030;1564362852.04;73088
WINFUT;23/12/2021;09:35:00;107110;107155;106975;107015;2664213751.21;124435
WINFUT;23/12/2021;09:30:00;107135;107150;107060;107105;1952997350.74;91176
WINFUT;23/12/2021;09:25:00;107050;107160;107020;107130;2169522124.91;101285
WINFUT;23/12/2021;09:20:00;107035;107065;106985;107050;1703794347.06;79601
WINFUT;23/12/2021;09:15:00;107130;107180;107020;107035;2366486977.74;110492
WINFUT;23/12/2021;09:10:00;107060;107160;107015;107130;1873347041.46;87462
