Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;12/01/2022;12:57:00;5.585,000;5.585,500;5.581,000;5.581,000;236.215.230,00;4.231
WDOFUT;12/01/2022;12:56:00;5.584,000;5.586,000;5.584,000;5.584,500;78.859.390,00;1.412
WDOFUT;12/01/2022;12:55:00;5.583,000;5.584,500;5.582,000;5.584,500;177.872.400,00;3.186
WDOFUT;12/01/2022;12:54:00;5.585,000;5.585,500;5.582,500;5.583,000;128.539.120,00;2.302
WDOFUT;12/01/2022;12:53:00;5.586,000;5.587,000;5.584,500;5.584,500;194.332.915,00;3.479
WDOFUT;12/01/2022;12:52:00;5.584,000;5.587,000;5.583,500;5.586,500;301.319.695,00;5.395
WDOFUT;12/01/2022;12:51:00;5.581,500;5.585,000;5.581,500;5.584,000;235.148.675,00;4.211
WDOFUT;12/01/2022;12:50:00;5.584,500;5.584,500;5.580,500;5.582,000;234.499.000,00;4.201
WDOFUT;12/01/2022;12:49:00;5.581,000;5.585,000;5.580,500;5.584,500;200.252.955,00;3.587
WDOFUT;12/01/2022;12:48:00;5.582,500;5.583,500;5.580,000;5.581,000;340.706.385,00;6.104
WDOFUT;12/01/2022;12:47:00;5.584,000;5.584,500;5.582,000;5.583,000;154.937.190,00;2.775
WDOFUT;12/01/2022;12:46:00;5.583,000;5.584,500;5.582,500;5.584,000;136.680.375,00;2.448
WDOFUT;12/01/2022;12:45:00;5.586,000;5.587,000;5.583,000;5.583,000;242.398.825,00;4.340
WDOFUT;12/01/2022;12:44:00;5.587,000;5.589,000;5.585,500;5.586,000;449.908.295,00;8.052
WDOFUT;12/01/2022;12:43:00;5.584,500;5.587,000;5.584,000;5.587,000;227.832.500,00;4.079
WDOFUT;12/01/2022;12:42:00;5.585,000;5.586,500;5.582,500;5.584,500;295.203.525,00;5.286
WDOFUT;12/01/2022;12:41:00;5.582,000;5.585,500;5.581,000;5.585,500;299.179.260,00;5.358
WDOFUT;12/01/2022;12:40:00;5.582,000;5.583,500;5.580,000;5.582,000;160.577.755,00;2.877
WDOFUT;12/01/2022;12:39:00;5.583,000;5.583,000;5.581,500;5.582,000;74.413.930,00;1.333
WDOFUT;12/01/2022;12:38:00;5.581,000;5.583,500;5.580,500;5.583,000;126.600.935,00;2.268
WDOFUT;12/01/2022;12:37:00;5.582,000;5.582,500;5.580,500;5.581,000;117.318.670,00;2.102
WDOFUT;12/01/2022;12:36:00;5.582,000;5.585,000;5.581,500;5.582,000;228.638.205,00;4.095
WDOFUT;12/01/2022;12:35:00;5.581,000;5.582,500;5.580,000;5.582,000;251.414.040,00;4.505
WDOFUT;12/01/2022;12:34:00;5.581,500;5.583,000;5.580,000;5.580,500;175.136.135,00;3.138
WDOFUT;12/01/2022;12:33:00;5.582,000;5.583,500;5.581,500;5.581,500;121.753.590,00;2.181
WDOFUT;12/01/2022;12:32:00;5.584,000;5.585,500;5.582,000;5.582,000;318.175.910,00;5.698
WDOFUT;12/01/2022;12:31:00;5.579,000;5.584,500;5.578,500;5.584,500;626.817.170,00;11.230
WDOFUT;12/01/2022;12:30:00;5.577,000;5.579,500;5.576,500;5.579,000;250.694.875,00;4.494
WDOFUT;12/01/2022;12:29:00;5.578,000;5.578,500;5.576,500;5.577,000;209.889.580,00;3.763
WDOFUT;12/01/2022;12:28:00;5.574,500;5.578,000;5.574,000;5.578,000;217.909.030,00;3.908
WDOFUT;12/01/2022;12:27:00;5.574,000;5.575,000;5.573,500;5.574,000;161.035.810,00;2.889
WDOFUT;12/01/2022;12:26:00;5.575,500;5.576,000;5.573,000;5.574,000;462.948.410,00;8.305
WDOFUT;12/01/2022;12:25:00;5.578,500;5.578,500;5.575,000;5.575,500;256.007.915,00;4.591
WDOFUT;12/01/2022;12:24:00;5.577,000;5.579,000;5.577,000;5.578,000;88.863.925,00;1.593
WDOFUT;12/01/2022;12:23:00;5.580,500;5.581,500;5.576,000;5.577,000;521.253.650,00;9.344
WDOFUT;12/01/2022;12:22:00;5.578,000;5.580,500;5.578,000;5.580,500;193.439.550,00;3.467
WDOFUT;12/01/2022;12:21:00;5.578,500;5.579,500;5.577,500;5.578,500;218.165.905,00;3.911
WDOFUT;12/01/2022;12:20:00;5.580,000;5.580,500;5.578,000;5.579,000;153.543.295,00;2.752
WDOFUT;12/01/2022;12:19:00;5.579,000;5.580,000;5.577,500;5.580,000;149.504.280,00;2.680
WDOFUT;12/01/2022;12:18:00;5.578,500;5.579,500;5.577,500;5.579,000;220.351.900,00;3.950
WDOFUT;12/01/2022;12:17:00;5.581,500;5.582,000;5.578,000;5.578,000;344.898.325,00;6.181
WDOFUT;12/01/2022;12:16:00;5.582,500;5.583,500;5.581,000;5.581,500;271.231.185,00;4.859
WDOFUT;12/01/2022;12:15:00;5.582,500;5.587,000;5.582,000;5.583,000;521.438.710,00;9.338
WDOFUT;12/01/2022;12:14:00;5.580,500;5.583,000;5.579,500;5.583,000;364.187.615,00;6.525
WDOFUT;12/01/2022;12:13:00;5.579,000;5.581,000;5.578,000;5.580,500;160.688.315,00;2.880
WDOFUT;12/01/2022;12:12:00;5.579,000;5.581,000;5.577,500;5.579,000;303.496.870,00;5.440
WDOFUT;12/01/2022;12:11:00;5.580,500;5.582,000;5.578,500;5.579,000;364.893.035,00;6.539
WDOFUT;12/01/2022;12:10:00;5.585,500;5.586,000;5.580,500;5.581,000;621.043.140,00;11.122
WDOFUT;12/01/2022;12:09:00;5.582,500;5.587,000;5.582,000;5.585,000;548.909.675,00;9.828
WDOFUT;12/01/2022;12:08:00;5.583,500;5.584,000;5.581,000;5.582,500;307.361.105,00;5.506
WDOFUT;12/01/2022;12:07:00;5.579,000;5.585,500;5.578,500;5.584,000;838.819.560,00;15.024
WDOFUT;12/01/2022;12:06:00;5.579,000;5.579,500;5.577,500;5.579,000;184.868.615,00;3.314
WDOFUT;12/01/2022;12:05:00;5.578,500;5.579,000;5.578,000;5.578,500;122.115.375,00;2.189
WDOFUT;12/01/2022;12:04:00;5.577,500;5.580,000;5.576,500;5.578,500;349.069.315,00;6.257
WDOFUT;12/01/2022;12:03:00;5.574,000;5.579,000;5.574,000;5.577,500;416.233.460,00;7.463
WDOFUT;12/01/2022;12:02:00;5.576,000;5.576,500;5.574,000;5.574,500;273.968.820,00;4.914
WDOFUT;12/01/2022;12:01:00;5.576,000;5.579,000;5.575,500;5.576,500;363.004.210,00;6.508
WDOFUT;12/01/2022;12:00:00;5.574,500;5.578,000;5.574,000;5.576,500;313.637.980,00;5.625
WDOFUT;12/01/2022;11:59:00;5.576,500;5.577,000;5.574,000;5.574,500;229.080.205,00;4.109
WDOFUT;12/01/2022;11:58:00;5.575,000;5.577,000;5.574,000;5.576,500;344.495.695,00;6.179
WDOFUT;12/01/2022;11:57:00;5.581,000;5.582,500;5.575,000;5.575,000;660.549.485,00;11.842
WDOFUT;12/01/2022;11:56:00;5.578,000;5.581,000;5.577,500;5.581,000;431.483.890,00;7.733
WDOFUT;12/01/2022;11:55:00;5.578,500;5.579,500;5.577,500;5.578,000;238.707.660,00;4.279
WDOFUT;12/01/2022;11:54:00;5.577,500;5.580,500;5.577,000;5.578,500;388.840.395,00;6.970
WDOFUT;12/01/2022;11:53:00;5.578,000;5.578,000;5.576,500;5.578,000;278.083.245,00;4.986
WDOFUT;12/01/2022;11:52:00;5.575,500;5.578,000;5.574,500;5.578,000;767.201.095,00;13.760
WDOFUT;12/01/2022;11:51:00;5.578,000;5.578,500;5.575,500;5.576,000;458.872.145,00;8.228
WDOFUT;12/01/2022;11:50:00;5.576,500;5.578,500;5.575,500;5.578,000;488.025.000,00;8.751
WDOFUT;12/01/2022;11:49:00;5.579,000;5.580,000;5.575,500;5.576,500;787.509.315,00;14.121
WDOFUT;12/01/2022;11:48:00;5.583,500;5.584,000;5.579,000;5.579,000;486.329.390,00;8.713
WDOFUT;12/01/2022;11:47:00;5.582,500;5.585,000;5.582,000;5.584,000;210.123.260,00;3.763
WDOFUT;12/01/2022;11:46:00;5.585,500;5.586,500;5.582,500;5.582,500;241.139.375,00;4.318
WDOFUT;12/01/2022;11:45:00;5.584,000;5.588,500;5.582,000;5.585,500;790.505.570,00;14.153
WDOFUT;12/01/2022;11:44:00;5.580,500;5.585,000;5.580,000;5.584,000;460.008.850,00;8.240
WDOFUT;12/01/2022;11:43:00;5.583,500;5.584,000;5.580,500;5.580,500;347.129.270,00;6.219
WDOFUT;12/01/2022;11:42:00;5.583,500;5.585,000;5.582,500;5.583,500;157.969.885,00;2.829
WDOFUT;12/01/2022;11:41:00;5.582,000;5.584,000;5.581,000;5.583,500;279.192.725,00;5.001
WDOFUT;12/01/2022;11:40:00;5.578,500;5.583,500;5.577,500;5.582,000;610.623.045,00;10.941
